,name,vid,manufacturer,model,battery_capacity,latest_data_t,hist_kwh_mile,num_standing,num_seats,curb_weight,gvwr,length,est_mileage,mile_per_soc
0,2401,gillig_534,Gillig,BEV,686.0,2025-06-19 10:51:02,3.0,37.0,38.0,32900.0,47180.0,40.0,228.667,2.28667
1,2402,gillig_560,Gillig,BEV,686.0,2025-06-19 10:51:02,3.0,37.0,38.0,32900.0,47180.0,40.0,228.667,2.28667
2,2403,gillig_578,Gillig,BEV,686.0,2025-06-19 10:51:02,3.0,37.0,38.0,32900.0,47180.0,40.0,228.667,2.28667
3,2404,gillig_579,Gillig,BEV,686.0,2025-06-19 10:51:02,3.0,37.0,38.0,32900.0,47180.0,40.0,228.667,2.28667
4,2405,gillig_580,Gillig,BEV,686.0,2025-06-19 10:51:02,3.0,37.0,38.0,32900.0,47180.0,40.0,228.667,2.28667
5,2406,gillig_600,Gillig,BEV,686.0,2025-06-19 10:51:02,3.0,37.0,38.0,32900.0,47180.0,40.0,228.667,2.28667
6,2407,gillig_601,Gillig,BEV,686.0,2025-06-19 10:51:02,3.0,37.0,38.0,32900.0,47180.0,40.0,228.667,2.28667
7,BYD1501,byd_011,BYD,BEV,,2025-06-19 10:51:02,,,,,,,,
8,CCW707,ccw_001,CCW,BEV,250.0,2025-06-19 10:51:02,2.48,,,,,,100.806,1.00806
9,CCW736,ccw_004,CCW,BEV,250.0,2025-06-19 10:51:02,2.48,,,,,,100.806,1.00806
10,CCW768,ccw_003,CCW,BEV,250.0,2025-06-19 10:51:02,2.48,,,,,,100.806,1.00806
11,CCW775,ccw_005,CCW,BEV,250.0,2025-06-19 10:51:02,2.48,,,,,,100.806,1.00806
12,CCW777,ccw_002,CCW,BEV,250.0,2025-06-19 10:51:02,2.48,,,,,,100.806,1.00806
