,timestamp,vid,rtpidatafeed,tmstmp,lat,lon,hdg,pid,rt,des,pdist,dly,spd,tatripid,origtatripno,tablockid,zone,mode,psgld,stst,stsd,oid,or_,rid,blk,tripid,tripdyn
0,1750292822,2010,None,20250618 17:27:02,33.91964733328036,-118.2915222903514,8.0,49,2,Kaiser Hospital >> Kaiser Hospital,52046.0,0,2.0,37320,37320,102,,1,N/A,60000.0,2025-06-18,124276,False,215,602,668020,0
1,1750292820,2314,None,20250618 17:27:00,33.93090963711736,-118.3044563267571,89.0,31,2,Kaiser Hospital >> Kaiser Hospital,56737.0,0,33.0,37272,37272,92,,1,N/A,60000.0,2025-06-18,125170,False,216,3202,206020,0
2,1750292820,2313,None,20250618 17:27:00,33.93082539555751,-118.27959520126952,13.0,14,1X,Redondo Beach Station > Harbor Fwy Station,51300.0,0,0.0,37071,37071,11X,,1,N/A,59940.0,2025-06-18,124917,False,306,102,128020,0
3,1750292820,0889,None,20250618 17:27:00,33.90453,-118.31094,269.0,-1,U,,0.0,0,1.0,N/A,,N/A,,1,N/A,,,N/A,True,N/A,,,0
4,1750292819,2320,None,20250618 17:26:59,33.88876085888271,-118.30872850361548,270.0,46,3,MLK Transit Center >> South Bay Galleria,40606.0,0,5.0,37496,37496,33,,1,N/A,60720.0,2025-06-18,125177,False,226,1502,483020,0
5,1750292819,2306,None,20250618 17:26:59,33.888408712243,-118.30921242233467,199.0,49,2,Kaiser Hospital >> Kaiser Hospital,76227.0,0,1.0,37319,37319,32,,1,N/A,58800.0,2025-06-18,117024,False,212,1402,363020,0
6,1750292819,2303,None,20250618 17:26:59,33.87163666666667,-118.30911499999999,196.0,31,2,Kaiser Hospital >> Kaiser Hospital,33636.0,0,0.0,37273,37273,62,,1,N/A,61200.0,2025-06-18,115782,False,213,2602,163020,0
7,1750292816,2319,None,20250618 17:26:56,33.87240682345641,-118.2909020446502,357.0,49,2,Kaiser Hospital >> Kaiser Hospital,35316.0,0,0.0,37321,37321,52,,1,N/A,61200.0,2025-06-18,114875,False,217,2502,389020,0
8,1750292816,2317,None,20250618 17:26:56,33.789477731344135,-118.30661414705054,265.0,31,2,Kaiser Hospital >> Kaiser Hospital,3232.0,0,0.0,37274,37274,72,,1,N/A,62400.0,2025-06-18,125179,False,214,2702,754020,0
9,1750292816,2017,None,20250618 17:26:56,33.904608333333336,-118.31084166666666,334.0,-1,U,,0.0,0,0.0,N/A,,N/A,,1,N/A,,,N/A,True,N/A,,,0
10,1750292814,2318,None,20250618 17:26:54,33.91144670980531,-118.29190150014472,180.0,31,2,Kaiser Hospital >> Kaiser Hospital,67654.0,0,15.0,37271,37271,42,,1,N/A,58800.0,2025-06-18,115120,False,220,2202,497020,0
11,1750292814,2018,None,20250618 17:26:54,33.89212950683191,-118.29208822161287,89.0,28,3,South Bay Galleria >> MLK Transit Center,25044.0,0,0.0,37467,37467,43,,1,N/A,61200.0,2025-06-18,125174,False,304,2302,759020,0
12,1750292813,2310,None,20250618 17:26:53,33.952664910395335,-118.37689331747062,267.0,26,5,Willowbrook / Rosa Park Station >> LAX TC,66742.0,0,9.0,37777,37777,35,,1,N/A,59400.0,2025-06-18,117030,False,307,1702,46020,0
13,1750292813,2307,None,20250618 17:26:53,33.84263123875952,-118.29923,180.0,31,2,Kaiser Hospital >> Kaiser Hospital,98067.0,0,20.0,37270,37270,22,,1,N/A,57600.0,2025-06-18,82963,False,219,1002,463020,0
14,1750292813,2002,None,20250618 17:26:53,33.904025000000004,-118.31016833333334,95.0,-1,U,,0.0,0,0.0,N/A,,N/A,,1,N/A,,,N/A,True,N/A,,,0
15,1750292811,1000,None,20250618 17:26:51,33.90425,-118.30987,79.0,-1,U,,0.0,0,0.0,N/A,,N/A,,1,N/A,,,N/A,True,N/A,,,0
16,1750292810,2311,None,20250618 17:26:50,33.92376607221107,-118.24601021649032,81.0,9,5,LAX Transit Center >> Willowbrook / Rosa,59039.0,0,12.0,37744,37744,15,,1,N/A,59700.0,2025-06-18,90419,False,504,502,766020,0
17,1750292809,2403,None,20250618 17:26:49,33.86819333333334,-118.35762666666666,86.0,46,3,MLK Transit Center >> South Bay Galleria,60574.0,1,0.0,37495,37495,13,,1,N/A,58920.0,2025-06-18,125430,False,305,302,451020,0
18,1750292809,2302,None,20250618 17:26:49,33.894518,-118.369928,359.0,14,1X,Redondo Beach Station > Harbor Fwy Station,0.0,1,0.0,37072,37072,21X,,1,N/A,62640.0,2025-06-18,83414,False,227,902,260020,0
19,1750292809,2015,None,20250618 17:26:49,33.81239910656556,-118.29820151407058,19.0,49,2,Kaiser Hospital >> Kaiser Hospital,8497.0,0,9.0,37322,37322,112,,1,N/A,62400.0,2025-06-18,123244,False,221,702,417020,0
20,1750292809,2004,None,20250618 17:26:49,33.916419506262656,-118.35713998872392,89.0,9,5,LAX Transit Center >> Willowbrook / Rosa,20648.0,0,21.0,37745,37745,25,,1,N/A,61320.0,2025-06-18,108020,False,224,1302,277020,0
21,1750292806,0891,None,20250618 17:26:46,33.90446,-118.30988,72.0,-1,U,,0.0,0,0.0,N/A,,N/A,,1,N/A,,,N/A,True,N/A,,,0
22,1750292805,2006,None,20250618 17:26:45,33.89598772890131,-118.22318108499539,90.0,46,3,MLK Transit Center >> South Bay Galleria,1207.0,0,0.0,37497,37497,23,,1,N/A,62460.0,2025-06-18,114240,False,223,1102,569020,0
23,1750292805,0843,None,20250618 17:26:45,33.90483,-118.30937,98.0,-1,U,,0.0,0,0.0,N/A,,N/A,,1,N/A,,,N/A,True,N/A,,,0
24,1750292801,R5,None,20250618 17:26:41,33.90466576,-118.30982169,82.0,-1,U,,0.0,0,0.0,N/A,,N/A,,1,N/A,,,N/A,True,N/A,,,0
25,1750292800,0845,None,20250618 17:26:40,33.95268,-118.37171,268.0,-1,U,,0.0,0,27.0,N/A,,N/A,,1,N/A,,,N/A,True,N/A,,,0
26,1750292799,2308,None,20250618 17:26:39,33.91641900301946,-118.34088323475287,270.0,26,5,Willowbrook / Rosa Park Station >> LAX TC,37015.0,0,20.0,37778,37778,45,,1,N/A,61200.0,2025-06-18,124918,False,225,2402,722020,0
27,1750292796,2402,None,20250618 17:26:36,33.81940245986606,-118.30889926254471,179.0,49,2,Kaiser Hospital >> Kaiser Hospital,100817.0,0,31.0,37318,37318,12,,1,N/A,57600.0,2025-06-18,125297,False,218,202,235020,0
28,1750292795,0890,None,20250618 17:26:35,33.89139,-118.29654,208.0,-1,U,,0.0,0,0.0,N/A,,N/A,,1,N/A,,,N/A,True,N/A,,,0
29,1750292793,2009,None,20250618 17:26:33,33.78725333333333,-118.29733333333334,1.0,49,2,Kaiser Hospital >> Kaiser Hospital,119123.0,0,0.0,37317,37317,122,,1,N/A,56400.0,2025-06-18,123504,False,222,802,421020,0
30,1750292793,2008,None,20250618 17:26:33,33.90484666666667,-118.31078666666666,343.0,-1,U,,0.0,0,0.0,N/A,,N/A,,1,N/A,,,125419,True,N/A,,,0
31,1750292792,2312,None,20250618 17:26:32,33.789365,-118.29739833333333,0.0,31,2,Kaiser Hospital >> Kaiser Hospital,122304.0,0,0.0,37269,37269,82,,1,N/A,56400.0,2025-06-18,125175,True,211,3102,323020,0
32,1750292762,2312,None,20250618 17:26:02,33.789363333333334,-118.29739333333333,0.0,31,2,Kaiser Hospital >> Kaiser Hospital,122304.0,0,0.0,37269,37269,82,,1,N/A,56400.0,2025-06-18,125175,True,211,3102,323020,0
33,1750292759,2313,None,20250618 17:25:59,33.92978681638001,-118.27989644377521,13.0,14,1X,Redondo Beach Station > Harbor Fwy Station,50908.0,0,3.0,37071,37071,11X,,1,N/A,59940.0,2025-06-18,124917,False,306,102,128020,0
34,1750292759,2015,None,20250618 17:25:59,33.80817576817971,-118.29846387409563,2.0,49,2,Kaiser Hospital >> Kaiser Hospital,6996.0,0,41.0,37322,37322,112,,1,N/A,62400.0,2025-06-18,123244,False,221,702,417020,0
35,1750292758,2308,None,20250618 17:25:58,33.916419043661556,-118.33880291528298,270.0,26,5,Willowbrook / Rosa Park Station >> LAX TC,36464.0,0,24.0,37778,37778,45,,1,N/A,61200.0,2025-06-18,124918,False,225,2402,722020,0
36,1750292758,2009,None,20250618 17:25:58,33.78648550817396,-118.2972914283808,298.0,49,2,Kaiser Hospital >> Kaiser Hospital,118437.0,0,12.0,37317,37317,122,,1,N/A,56400.0,2025-06-18,123504,False,222,802,421020,0
37,1750292756,2402,None,20250618 17:25:56,33.8230335141791,-118.3090736091865,199.0,49,2,Kaiser Hospital >> Kaiser Hospital,99543.0,0,0.0,37318,37318,12,,1,N/A,57600.0,2025-06-18,125297,False,218,202,235020,0
38,1750292756,0889,None,20250618 17:25:56,33.90494,-118.31079,77.0,-1,U,,0.0,0,4.0,N/A,,N/A,,1,N/A,,,N/A,True,N/A,,,0
39,1750292755,2303,None,20250618 17:25:55,33.86753210599709,-118.30916105087148,359.0,31,2,Kaiser Hospital >> Kaiser Hospital,32104.0,0,30.0,37273,37273,62,,1,N/A,61200.0,2025-06-18,115782,False,213,2602,163020,0
40,1750292755,2017,None,20250618 17:25:55,33.904608333333336,-118.31084166666666,334.0,-1,U,,0.0,0,0.0,N/A,,N/A,,1,N/A,,,N/A,True,N/A,,,0
41,1750292753,2310,None,20250618 17:25:53,33.9526681557495,-118.37678280268369,267.0,26,5,Willowbrook / Rosa Park Station >> LAX TC,66709.0,0,0.0,37777,37777,35,,1,N/A,59400.0,2025-06-18,117030,False,307,1702,46020,0
42,1750292753,2306,None,20250618 17:25:53,33.88965754072158,-118.30916093445433,180.0,49,2,Kaiser Hospital >> Kaiser Hospital,75769.0,0,20.0,37319,37319,32,,1,N/A,58800.0,2025-06-18,117024,False,212,1402,363020,0
43,1750292751,2010,None,20250618 17:25:51,33.91582882381414,-118.29155510862005,7.0,49,2,Kaiser Hospital >> Kaiser Hospital,50710.0,0,0.0,37320,37320,102,,1,N/A,60000.0,2025-06-18,124276,False,215,602,668020,0
