,BLOCK_ID_GTFS,BLOCK_ID_USER,DAY,ROUTE_ID,ROUTE_ID_2,ROUTE_ID_3,SERVICE_ID,START_TIME,END_TIME,INSERVICE_START_TIME,INSERVICE_END_TIME,ST,ET,INSERVICE_ST,INSERVICE_ET,REVENUE_TIME,REVENUE_LENGTH,DEADHEAD_TIME,DEADHEAD_LENGTH,BREAK_TIME
0,102,102,FRIDAY,2,,,2,06:22,21:48,06:40,21:30,22920,78480,24000,77400,758,174.572,36,21.0,132
1,102,102,FRIDAY,2,,,5,06:22,21:48,06:40,21:30,22920,78480,24000,77400,758,174.572,36,21.0,132
2,102,102,MONDAY,2,,,2,06:22,21:48,06:40,21:30,22920,78480,24000,77400,758,174.572,36,21.0,132
3,102,102,MONDAY,2,,,4,06:22,21:48,06:40,21:30,22920,78480,24000,77400,758,174.572,36,21.0,132
4,102,102,THURSDAY,2,,,2,06:22,21:48,06:40,21:30,22920,78480,24000,77400,758,174.572,36,21.0,132
5,102,102,THURSDAY,2,,,4,06:22,21:48,06:40,21:30,22920,78480,24000,77400,758,174.572,36,21.0,132
6,102,102,TUESDAY,2,,,1,06:22,21:48,06:40,21:30,22920,78480,24000,77400,758,174.572,36,21.0,132
7,102,102,TUESDAY,2,,,2,06:22,21:48,06:40,21:30,22920,78480,24000,77400,758,174.572,36,21.0,132
8,102,102,WEDNESDAY,2,,,2,06:22,21:48,06:40,21:30,22920,78480,24000,77400,758,174.572,36,21.0,132
9,102,102,WEDNESDAY,2,,,4,06:22,21:48,06:40,21:30,22920,78480,24000,77400,758,174.572,36,21.0,132
10,112,112,FRIDAY,2,,,2,07:02,21:23,07:20,21:05,25320,76980,26400,75900,699,159.081,36,21.0,126
11,112,112,FRIDAY,2,,,5,07:02,21:23,07:20,21:05,25320,76980,26400,75900,699,159.081,36,21.0,126
12,112,112,MONDAY,2,,,2,07:02,21:23,07:20,21:05,25320,76980,26400,75900,699,159.081,36,21.0,126
13,112,112,MONDAY,2,,,4,07:02,21:23,07:20,21:05,25320,76980,26400,75900,699,159.081,36,21.0,126
14,112,112,THURSDAY,2,,,2,07:02,21:23,07:20,21:05,25320,76980,26400,75900,699,159.081,36,21.0,126
15,112,112,THURSDAY,2,,,4,07:02,21:23,07:20,21:05,25320,76980,26400,75900,699,159.081,36,21.0,126
16,112,112,TUESDAY,2,,,1,07:02,21:23,07:20,21:05,25320,76980,26400,75900,699,159.081,36,21.0,126
17,112,112,TUESDAY,2,,,2,07:02,21:23,07:20,21:05,25320,76980,26400,75900,699,159.081,36,21.0,126
18,112,112,WEDNESDAY,2,,,2,07:02,21:23,07:20,21:05,25320,76980,26400,75900,699,159.081,36,21.0,126
19,112,112,WEDNESDAY,2,,,4,07:02,21:23,07:20,21:05,25320,76980,26400,75900,699,159.081,36,21.0,126
20,11X,11X,FRIDAY,1X,,,2,05:10,18:06,05:22,17:54,18600,65160,19320,64440,584,168.105,24,7.7,168
21,11X,11X,FRIDAY,1X,,,5,05:10,18:06,05:22,17:54,18600,65160,19320,64440,584,168.105,24,7.7,168
22,11X,11X,MONDAY,1X,,,2,05:10,18:06,05:22,17:54,18600,65160,19320,64440,584,168.105,24,7.7,168
23,11X,11X,MONDAY,1X,,,4,05:10,18:06,05:22,17:54,18600,65160,19320,64440,584,168.105,24,7.7,168
24,11X,11X,SATURDAY,1X,,,6,07:27,18:06,07:39,17:54,26820,65160,27540,64440,484,138.591,24,7.7,131
25,11X,11X,SUNDAY,1X,,,3,07:27,18:06,07:39,17:54,26820,65160,27540,64440,484,138.591,24,7.7,131
26,11X,11X,THURSDAY,1X,,,2,05:10,18:06,05:22,17:54,18600,65160,19320,64440,584,168.105,24,7.7,168
27,11X,11X,THURSDAY,1X,,,4,05:10,18:06,05:22,17:54,18600,65160,19320,64440,584,168.105,24,7.7,168
28,11X,11X,THURSDAY,1X,,,6,07:27,18:06,07:39,17:54,26820,65160,27540,64440,484,138.591,24,7.7,131
29,11X,11X,TUESDAY,1X,,,1,05:10,18:06,05:22,17:54,18600,65160,19320,64440,584,168.105,24,7.7,168
30,11X,11X,TUESDAY,1X,,,2,05:10,18:06,05:22,17:54,18600,65160,19320,64440,584,168.105,24,7.7,168
31,11X,11X,WEDNESDAY,1X,,,2,05:10,18:06,05:22,17:54,18600,65160,19320,64440,584,168.105,24,7.7,168
32,11X,11X,WEDNESDAY,1X,,,4,05:10,18:06,05:22,17:54,18600,65160,19320,64440,584,168.105,24,7.7,168
33,12,12,FRIDAY,2,,,2,04:10,21:46,04:20,21:28,15000,78360,15600,77280,861,199.38,28,14.5,167
34,12,12,FRIDAY,2,,,5,04:10,21:46,04:20,21:28,15000,78360,15600,77280,861,199.38,28,14.5,167
35,12,12,MONDAY,2,,,2,04:10,21:46,04:20,21:28,15000,78360,15600,77280,861,199.38,28,14.5,167
36,12,12,MONDAY,2,,,4,04:10,21:46,04:20,21:28,15000,78360,15600,77280,861,199.38,28,14.5,167
37,12,12,SATURDAY,2,,,6,04:35,21:16,04:44,20:58,16500,76560,17040,75480,837,212.187,27,13.2,137
38,12,12,SUNDAY,2,,,3,04:35,21:16,04:44,20:58,16500,76560,17040,75480,837,212.187,27,13.2,137
39,12,12,THURSDAY,2,,,2,04:10,21:46,04:20,21:28,15000,78360,15600,77280,861,199.38,28,14.5,167
40,12,12,THURSDAY,2,,,4,04:10,21:46,04:20,21:28,15000,78360,15600,77280,861,199.38,28,14.5,167
41,12,12,THURSDAY,2,,,6,04:35,21:16,04:44,20:58,16500,76560,17040,75480,837,212.187,27,13.2,137
42,12,12,TUESDAY,2,,,1,04:10,21:46,04:20,21:28,15000,78360,15600,77280,861,199.38,28,14.5,167
43,12,12,TUESDAY,2,,,2,04:10,21:46,04:20,21:28,15000,78360,15600,77280,861,199.38,28,14.5,167
44,12,12,WEDNESDAY,2,,,2,04:10,21:46,04:20,21:28,15000,78360,15600,77280,861,199.38,28,14.5,167
45,12,12,WEDNESDAY,2,,,4,04:10,21:46,04:20,21:28,15000,78360,15600,77280,861,199.38,28,14.5,167
46,122,122,FRIDAY,2,,,2,07:22,19:40,07:40,19:22,26520,70800,27600,69720,600,136.649,36,21.0,102
47,122,122,FRIDAY,2,,,5,07:22,19:40,07:40,19:22,26520,70800,27600,69720,600,136.649,36,21.0,102
48,122,122,MONDAY,2,,,2,07:22,19:40,07:40,19:22,26520,70800,27600,69720,600,136.649,36,21.0,102
49,122,122,MONDAY,2,,,4,07:22,19:40,07:40,19:22,26520,70800,27600,69720,600,136.649,36,21.0,102
50,122,122,THURSDAY,2,,,2,07:22,19:40,07:40,19:22,26520,70800,27600,69720,600,136.649,36,21.0,102
51,122,122,THURSDAY,2,,,4,07:22,19:40,07:40,19:22,26520,70800,27600,69720,600,136.649,36,21.0,102
52,122,122,TUESDAY,2,,,1,07:22,19:40,07:40,19:22,26520,70800,27600,69720,600,136.649,36,21.0,102
53,122,122,TUESDAY,2,,,2,07:22,19:40,07:40,19:22,26520,70800,27600,69720,600,136.649,36,21.0,102
54,122,122,WEDNESDAY,2,,,2,07:22,19:40,07:40,19:22,26520,70800,27600,69720,600,136.649,36,21.0,102
55,122,122,WEDNESDAY,2,,,4,07:22,19:40,07:40,19:22,26520,70800,27600,69720,600,136.649,36,21.0,102
56,13,13,FRIDAY,3,,,2,05:33,20:20,05:39,20:01,19980,73200,20340,72060,726,169.319,25,7.0,136
57,13,13,FRIDAY,3,,,5,05:33,20:20,05:39,20:01,19980,73200,20340,72060,726,169.319,25,7.0,136
58,13,13,MONDAY,3,,,2,05:33,20:20,05:39,20:01,19980,73200,20340,72060,726,169.319,25,7.0,136
59,13,13,MONDAY,3,,,4,05:33,20:20,05:39,20:01,19980,73200,20340,72060,726,169.319,25,7.0,136
60,13,13,SATURDAY,3,,,6,05:33,19:07,05:39,18:48,19980,68820,20340,67680,648,153.659,25,7.0,141
61,13,13,SUNDAY,3,,,3,05:33,19:07,05:39,18:48,19980,68820,20340,67680,648,153.659,25,7.0,141
62,13,13,THURSDAY,3,,,2,05:33,20:20,05:39,20:01,19980,73200,20340,72060,726,169.319,25,7.0,136
63,13,13,THURSDAY,3,,,4,05:33,20:20,05:39,20:01,19980,73200,20340,72060,726,169.319,25,7.0,136
64,13,13,THURSDAY,3,,,6,05:33,19:07,05:39,18:48,19980,68820,20340,67680,648,153.659,25,7.0,141
65,13,13,TUESDAY,3,,,1,05:33,20:20,05:39,20:01,19980,73200,20340,72060,726,169.319,25,7.0,136
66,13,13,TUESDAY,3,,,2,05:33,20:20,05:39,20:01,19980,73200,20340,72060,726,169.319,25,7.0,136
67,13,13,WEDNESDAY,3,,,2,05:33,20:20,05:39,20:01,19980,73200,20340,72060,726,169.319,25,7.0,136
68,13,13,WEDNESDAY,3,,,4,05:33,20:20,05:39,20:01,19980,73200,20340,72060,726,169.319,25,7.0,136
69,14,14,FRIDAY,4,,,2,06:55,08:22,07:05,08:16,24900,30120,25500,29760,71,13.8315,16,6.0,0
70,14,14,FRIDAY,4,,,5,06:55,08:22,07:05,08:16,24900,30120,25500,29760,71,13.8315,16,6.0,0
71,14,14,MONDAY,4,,,2,06:55,08:22,07:05,08:16,24900,30120,25500,29760,71,13.8315,16,6.0,0
72,14,14,MONDAY,4,,,4,06:55,08:22,07:05,08:16,24900,30120,25500,29760,71,13.8315,16,6.0,0
73,14,14,THURSDAY,4,,,2,06:55,08:22,07:05,08:16,24900,30120,25500,29760,71,13.8315,16,6.0,0
74,14,14,THURSDAY,4,,,4,06:55,08:22,07:05,08:16,24900,30120,25500,29760,71,13.8315,16,6.0,0
75,14,14,TUESDAY,4,,,1,06:55,08:22,07:05,08:16,24900,30120,25500,29760,71,13.8315,16,6.0,0
76,14,14,TUESDAY,4,,,2,06:55,08:22,07:05,08:16,24900,30120,25500,29760,71,13.8315,16,6.0,0
77,14,14,WEDNESDAY,4,,,2,06:55,08:22,07:05,08:16,24900,30120,25500,29760,71,13.8315,16,6.0,0
78,14,14,WEDNESDAY,4,,,4,06:55,08:22,07:05,08:16,24900,30120,25500,29760,71,13.8315,16,6.0,0
79,15,15,FRIDAY,5,,,2,05:38,20:35,05:45,20:14,20280,74100,20700,72840,743,183.026,28,10.2,126
80,15,15,FRIDAY,5,,,5,05:38,20:35,05:45,20:14,20280,74100,20700,72840,743,183.026,28,10.2,126
81,15,15,MONDAY,5,,,2,05:38,20:35,05:45,20:14,20280,74100,20700,72840,743,183.026,28,10.2,126
