,TRIP_ID,BLOCK_ID_GTFS,BLOCK_ID_USER,DAY,ROUTE_TYPE,ROUTE_ID,SERVICE_ID,SHAPE_ID,START_TIME,END_TIME,ST,ET,INITIAL_LAT,INITIAL_LONG,FINAL_LAT,FINAL_LONG,TRIP_NAME,TRIP_DISTANCE,TRIP_ALTITUDE,TRIP_ASCENDING,TRIP_DESCENDING,TRIP_PEAKS,TRIP_TYPE,TRIP_INDEX
0,100020,13,13,FRIDAY,Bus,3,2,shp-3-54,08:15,09:02,29700,32520,33.898112,-118.223258,33.86808,-118.357314,MLK Transit Center >> South Bay Galleria,11.4232,20.1958,35.3006,-27.4643,12,STANDARD,4
1,100020,13,13,MONDAY,Bus,3,2,shp-3-54,08:15,09:02,29700,32520,33.898112,-118.223258,33.86808,-118.357314,MLK Transit Center >> South Bay Galleria,11.4232,20.1958,35.3006,-27.4643,12,STANDARD,4
2,100020,13,13,THURSDAY,Bus,3,2,shp-3-54,08:15,09:02,29700,32520,33.898112,-118.223258,33.86808,-118.357314,MLK Transit Center >> South Bay Galleria,11.4232,20.1958,35.3006,-27.4643,12,STANDARD,4
3,100020,13,13,TUESDAY,Bus,3,2,shp-3-54,08:15,09:02,29700,32520,33.898112,-118.223258,33.86808,-118.357314,MLK Transit Center >> South Bay Galleria,11.4232,20.1958,35.3006,-27.4643,12,STANDARD,4
4,100020,13,13,WEDNESDAY,Bus,3,2,shp-3-54,08:15,09:02,29700,32520,33.898112,-118.223258,33.86808,-118.357314,MLK Transit Center >> South Bay Galleria,11.4232,20.1958,35.3006,-27.4643,12,STANDARD,4
5,100080,13,13,FRIDAY,Bus,3,5,shp-3-54,08:15,09:02,29700,32520,33.898112,-118.223258,33.86808,-118.357314,MLK Transit Center >> South Bay Galleria,11.4232,20.1958,35.3006,-27.4643,12,STANDARD,4
6,100090,13,13,MONDAY,Bus,3,4,shp-3-54,08:15,09:02,29700,32520,33.898112,-118.223258,33.86808,-118.357314,MLK Transit Center >> South Bay Galleria,11.4232,20.1958,35.3006,-27.4643,12,STANDARD,4
7,100090,13,13,THURSDAY,Bus,3,4,shp-3-54,08:15,09:02,29700,32520,33.898112,-118.223258,33.86808,-118.357314,MLK Transit Center >> South Bay Galleria,11.4232,20.1958,35.3006,-27.4643,12,STANDARD,4
8,100090,13,13,WEDNESDAY,Bus,3,4,shp-3-54,08:15,09:02,29700,32520,33.898112,-118.223258,33.86808,-118.357314,MLK Transit Center >> South Bay Galleria,11.4232,20.1958,35.3006,-27.4643,12,STANDARD,4
9,100100,13,13,TUESDAY,Bus,3,1,shp-3-54,08:15,09:02,29700,32520,33.898112,-118.223258,33.86808,-118.357314,MLK Transit Center >> South Bay Galleria,11.4232,20.1958,35.3006,-27.4643,12,STANDARD,4
