,entry_id,stsd,day,vid,tablockid,rt,tatripid,blk,tripid,pid,stst,start_timestamp,end_timestamp,time_driven,miles_driven,start_soc,end_soc,avg_temp,avg_speed,avg_speed_driven,max_speed,acceleration_avg,acceleration_max,acceleration_min,mile_soc,energy_used,kwh_mile,starting_alt,accu_ascending,accu_descending,num_peaks,weight,traffic,battery_capacity,driver_id,start_rm,end_rm,odo,source
0,1,2024-08-19,MONDAY,2402,,2,,42,-913209012,,,1724106224,1724108922,44.9667,6.37527,93.6,90.8,,10.055,21.8845,39.6124,-0.0582892,0.680828,-0.8362,2.27689,18.8726,2.96029,19.6075,17.378,-20.7531,14.0,0.0,0.1304,686.0,113501,,,2189.02,Clever
1,2,2024-08-19,MONDAY,2402,,2,,142,-1418960194,,,1724111519,1724111855,5.6,1.14954,87.6,87.2,,21.8024,21.8024,35.0104,-0.355249,0.482253,-1.50406,2.87384,2.38389,2.07379,11.0107,1.84506,-3.98087,2.0,0.0,0.0,686.0,113501,,,2202.33,Clever
2,3,2024-08-20,TUESDAY,2402,,PO,,23,830033,,,1724158503,1724159062,9.31667,0.177091,84.4,84.0,,1.24829,8.73803,8.73803,0.0391016,0.273711,0.0,0.442726,0.706802,3.99119,15.3653,0.0,-0.64205,0.0,0.0,0.3636,686.0,110689,,,2208.07,Clever
3,4,2024-08-20,TUESDAY,2402,,3,,23,560030,,,1724168504,1724171404,48.3333,9.79902,72.8,67.6,,12.5164,20.2188,44.2047,-0.231634,1.57077,-2.50401,1.88443,26.6883,2.72357,20.1067,24.4848,-24.346,11.0,0.0,0.0652,686.0,110689,,,2237.39,Clever
4,5,2024-08-20,TUESDAY,2402,,3,,23,382030,,,1724171445,1724175060,60.25,11.02,67.6,62.8,79.92,10.9749,18.5201,41.1173,0.102253,5.83908,-1.3063,2.29583,31.4197,2.85115,20.0768,32.8779,-25.2631,15.0,0.0,0.0328,686.0,110689,,,2247.32,Clever
5,6,2024-08-20,TUESDAY,2402,,3,,23,41030,,,1724175107,1724178154,50.7833,10.554,62.4,57.6,79.92,15.5035,22.2862,45.8649,-0.170597,1.14426,-1.43311,2.19875,29.0016,2.74793,31.2127,23.9352,-35.5992,14.0,0.0,0.0385,686.0,108093,,,2258.46,Clever
6,7,2024-08-20,TUESDAY,2402,,3,,23,613030,,,1724178238,1724181942,61.7333,11.1381,57.6,52.0,79.92,12.8337,20.6117,44.6125,-0.0791237,2.14907,-2.61069,1.98895,33.6447,3.02069,20.0768,36.4896,-25.3537,15.0,0.0,0.0,686.0,108093,,,2269.49,Clever
7,8,2024-08-20,TUESDAY,2402,,3,,23,4030,,,1724182015,1724185173,52.6333,10.5913,52.4,48.0,79.92,11.3789,18.7201,37.7192,-0.0295025,1.50406,-1.53638,2.40711,25.4024,2.39843,31.2127,30.0162,-41.589,17.0,0.0,0.0,686.0,108093,,,2280.62,Clever
8,9,2024-08-20,TUESDAY,2402,,3,,23,468030,,,1724185259,1724189521,71.0333,11.1474,47.6,42.0,79.92,14.4407,22.0858,38.3794,-0.0483937,2.10568,-2.31762,1.99061,30.9725,2.77845,20.0768,36.5262,-25.3902,17.0,0.0,0.1944,686.0,108093,,,2291.63,Clever
9,10,2024-08-20,TUESDAY,2402,,3,,23,636030,,,1724189575,1724192495,48.6667,10.5291,42.0,37.6,79.92,16.544,22.56,49.3504,-0.020543,1.46028,-1.54414,2.39298,24.4762,2.32462,27.9201,29.2255,-37.1422,13.0,0.0,0.04,686.0,108093,,,2302.85,Clever
10,11,2024-08-20,TUESDAY,2402,,3,,23,519030,,,1724192568,1724196659,68.1833,11.1474,37.6,32.8,79.92,13.3234,19.0334,41.6707,-0.0387416,1.74462,-2.61259,2.32238,24.8011,2.22484,20.0768,35.3769,-24.2409,17.0,0.0,0.2609,686.0,108093,,,2313.78,Clever
11,12,2024-08-20,TUESDAY,2402,,3,,23,571030,,,1724196700,1724196833,2.21667,0.0,32.8,32.8,79.92,0.0,,0.0,0.0,0.0,0.0,,0.0,,31.2127,0.0,0.0,0.0,0.0,1.0,686.0,108093,,,2324.93,Clever
