,entry_id,stsd,day,vid,tablockid,blk,num_trip,num_trip_inservice,start_timestamp,end_timestamp,time_driven,miles_driven,soc_used,avg_temp,avg_speed,avg_speed_driven,max_speed,acceleration_avg,acceleration_max,acceleration_min,mile_soc,energy_used,kwh_mile,accu_ascending,accu_descending,num_peaks,weight,traffic,num_driver_id,start_rm,end_rm,odo,source,start_soc,end_soc
0,1,2024-08-19,MONDAY,2402,42,42,1,1,1724106224,1724108922,44.9667,6.37527,2.8,,10.055,21.8845,39.6124,-0.0582892,0.680828,-0.8362,2.27688,18.8726,2.96028,17.378,-20.7531,14,,,1,,,2189.02,Clever,,
1,2,2024-08-19,MONDAY,2402,142,142,1,1,1724111519,1724111855,5.6,1.14954,0.4,,21.8024,21.8024,35.0104,-0.355249,0.482253,-1.50406,2.87385,2.38389,2.07378,1.84506,-3.98087,2,,,1,,,2202.33,Clever,,
2,3,2024-08-20,TUESDAY,2402,23,23,10,9,1724158503,1724196833,473.15,86.1034,80.0,79.92,10.8764,19.1971,49.3504,-0.0477181,5.83908,-2.61259,1.07629,227.113,2.63768,248.932,-239.566,119,,,2,,,2208.07,Clever,,
3,4,2024-08-21,WEDNESDAY,2402,23,23,1,0,1724245553,1724245786,3.88333,0.0,0.0,79.92,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0,,,1,108.245,108.245,2330.1,Clever,,
4,5,2024-08-27,TUESDAY,2402,23,23,4,3,1724763303,1724777029,226.0,44.0024,19.2,79.92,14.5255,21.9334,49.3019,0.139992,5.7764,-1.98052,2.29179,98.5828,2.2404,118.786,-121.207,59,,,1,94.5172,73.8866,2331.08,Clever,,
5,6,2024-08-27,TUESDAY,2401,23,23,7,7,1724778218,1724806248,460.766,68.9908,40.8,79.92,11.8647,18.374,43.7096,-0.0122999,2.01353,-1.84784,1.69095,173.996,2.52202,203.41,-201.496,128,,,1,,,1830.98,Clever,,
6,7,2024-08-29,THURSDAY,2401,23,23,1,0,1724936520,1724936916,6.6,0.0,4.4,79.92,0.0,,0.0,0.0,0.0,0.0,0.0,0.245106,,0.0,0.0,0,,,1,148.79,142.164,1901.1,Clever,,
7,8,2024-09-03,TUESDAY,2401,23,23,15,13,1725368619,1725418131,811.017,153.575,69.6,79.92,13.1108,19.1046,46.1756,-0.0435133,2.30035,-3.34201,2.20654,378.162,2.46239,422.841,-424.966,190,,,2,147.586,49.9984,1901.56,Clever,,
8,9,2024-09-04,WEDNESDAY,2401,23,23,9,8,1725454655,1725486350,519.817,95.6227,44.4,80.2668,11.5437,19.3292,43.3795,-0.0438738,2.19163,-2.34375,2.15366,215.313,2.25169,279.428,-287.925,126,,,2,141.613,70.0532,2060.31,Clever,,
9,10,2024-09-08,SUNDAY,2401,23,23,7,6,1725800161,1725825404,391.25,76.1334,62.4,83.5807,13.015,19.3033,45.6708,-0.0518145,2.36352,-2.59522,1.22009,141.917,1.86406,218.475,-212.341,104,,,2,157.904,114.642,2180.16,Clever,,
10,11,2024-09-08,SUNDAY,2402,23,23,7,6,1725827087,1725845684,294.65,52.4717,24.4,88.9869,16.6484,22.4069,46.9621,0.0842395,2.36352,-1.93379,2.15048,116.616,2.22246,149.617,-150.873,65,,,1,121.587,96.5692,2392.37,Clever,,
11,12,2024-09-09,MONDAY,2402,23,23,15,13,1725886599,1725936831,810.917,143.617,152.4,85.7729,10.732,17.9186,45.2145,-0.0142681,3.71077,-3.56867,0.942372,342.029,2.38153,409.442,-404.563,185,,,2,137.502,57.2009,2448.53,Clever,,
12,13,2024-09-10,TUESDAY,2402,23,23,10,9,1725972944,1726009181,594.267,108.501,64.4,75.2222,12.6592,17.9381,47.2824,0.0254042,5.0981,-3.47222,1.68479,236.551,2.18018,309.295,-310.926,138,,,2,106.943,45.6674,2598.76,Clever,,
13,14,2024-09-11,WEDNESDAY,2402,23,23,1,0,1726059347,1726061448,35.0167,2.2649,5.2,61.757,3.69064,22.882,36.7871,-0.00180284,1.40542,-0.454696,0.435558,5.18104,2.28754,2.19665,-2.58962,4,,,1,142.205,134.69,2711.08,Clever,,
14,15,2024-09-16,MONDAY,2401,23,23,15,13,1726491357,1726541315,818.183,152.559,74.4,67.5878,12.8546,18.7548,44.8261,-0.0063027,2.21354,-2.95139,2.05053,316.581,2.07513,439.008,-428.005,148,,,2,165.668,69.2664,2258.09,Clever,,
15,16,2024-09-17,TUESDAY,2401,23,23,15,13,1726577750,1726628021,823.567,152.152,67.2,67.3777,13.1833,19.6896,44.3989,-0.000667677,2.27757,-2.86458,2.26417,319.118,2.09736,441.722,-456.262,199,,,2,164.954,65.0787,2415.04,Clever,,
16,17,2024-09-18,WEDNESDAY,2401,23,23,3,2,1726664150,1726677116,214.217,30.9132,90.8,62.1327,8.72983,18.034,39.0202,-0.149043,2.12674,-2.90799,0.340454,69.3321,2.2428,92.2639,-79.9008,43,,,1,138.981,6.70523,2571.59,Clever,,
17,18,2024-09-19,THURSDAY,2402,3013SCHO,3013SCHO,3,1,1726751339,1726758400,115.467,27.8623,8.8,64.4472,16.0246,22.2738,38.0784,0.00166493,1.98413,-2.0668,3.16617,57.3523,2.05842,85.8535,-94.4828,34,,,1,131.871,118.626,2719.58,Clever,,
18,19,2024-09-19,THURSDAY,2403,23,23,12,11,1726765378,1726800602,576.5,106.891,45.6,68.7552,13.2861,19.406,41.0396,-0.0575329,2.12841,-1.99993,2.34411,209.008,1.95533,303.541,-298.679,122,,,1,,,1798.89,Clever,,
19,20,2024-09-19,THURSDAY,2407,42,42,1,1,1726776892,1726783436,109.067,20.4617,6.0,70.7956,10.2274,20.9304,37.4085,0.0114196,2.04861,-3.15947,3.41028,39.568,1.93376,104.752,-106.683,25,,,1,,,1409.7,Clever,,
20,21,2024-09-19,THURSDAY,2407,4044SCHO,4044SCHO,3,1,1726783498,1726788038,73.9666,7.22033,3.6,71.0198,5.82442,18.6667,34.2531,-0.0981343,1.10635,-1.30208,2.00565,21.5302,2.98189,14.874,-14.2334,14,,,1,,,1430.16,Clever,,
21,22,2024-09-19,THURSDAY,2407,35,35,1,1,1726799929,1726804668,78.9833,12.7101,3.2,64.7727,10.8798,21.4396,42.894,-0.0292433,2.04248,-1.07433,3.97191,21.3893,1.68286,46.4973,-60.3438,11,,,1,,,1448.92,Clever,,
22,23,2024-09-22,SUNDAY,2403,7077X,7077X,12,10,1727025963,1727054322,411.3,93.7588,40.8,68.81,19.15,27.6336,66.5741,-0.0142921,1.39057,-1.64341,2.29801,177.442,1.89253,540.976,-522.493,99,,,1,193.805,134.172,1909.2,Clever,,
23,24,2024-09-23,MONDAY,2402,23,23,4,3,1727096160,1727112375,267.933,48.5664,18.0,61.8449,11.0938,20.207,46.2145,-0.029425,2.23335,-2.29298,2.69813,110.871,2.28287,144.434,-125.27,50,,,1,117.192,91.3406,2749.9,Clever,,
24,25,2024-09-24,TUESDAY,2403,23,23,16,15,1727184232,1727232525,790.7,144.637,64.0,65.7587,13.3053,20.2435,43.9135,0.00458844,2.19121,-5.83121,2.25995,306.926,2.12205,422.306,-422.886,178,,,2,199.964,92.6063,2012.7,Clever,,
25,26,2024-09-25,WEDNESDAY,2403,23,23,15,13,1727269081,1727319113,816.0,151.59,63.6,64.6297,13.0962,19.9444,46.098,0.0335996,5.25402,-5.36152,2.38349,307.876,2.03098,441.913,-415.343,185,,,2,213.025,98.7188,2162.27,Clever,,
26,27,2024-09-26,THURSDAY,2403,23,23,15,13,1727355645,1727405401,815.25,150.496,69.2,65.848,13.2417,20.1639,44.5445,0.00142385,2.94874,-4.70753,2.1748,316.887,2.10561,427.125,-417.789,161,,,2,218.396,98.1458,2318.55,Clever,,
27,28,2024-09-27,FRIDAY,2403,23,23,8,7,1727443114,1727471153,460.517,75.9781,38.0,63.8546,9.2527,17.3869,41.7192,-0.0682325,3.32521,-1.94704,1.99942,179.219,2.35883,208.891,-212.167,88,,,2,213.02,139.741,2474.47,Clever,,
28,29,2024-09-29,SUNDAY,2403,7057X,7057X,12,10,1727628934,1727658891,488.7,102.915,32.8,67.7261,14.6369,27.7521,66.5061,0.0215053,2.68684,-1.76189,3.13764,206.819,2.00962,561.716,-528.224,96,,,1,213.02,138.071,2556.38,Clever,,
29,30,2024-09-29,SUNDAY,2407,7077X,7077X,9,8,1727630749,1727657447,437.45,77.9324,29.2,68.0564,16.9018,28.7309,65.8653,-0.0199271,1.29374,-1.86591,2.66892,143.811,1.84533,442.94,-444.478,67,,,1,177.992,132.084,1478.53,Clever,,
30,31,2024-09-30,MONDAY,2405,23,23,1,0,1727700949,1727701050,1.68333,0.0,0.0,60.42,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0,,,1,,,1400.62,Clever,,
31,32,2024-09-30,MONDAY,2403,43,43,15,13,1727702862,1727752907,820.217,148.582,63.6,67.4171,14.1521,22.1179,51.1854,0.00603949,4.37243,-3.36159,2.3362,343.427,2.31136,413.061,-417.498,162,,,2,215.392,87.8798,2665.16,Clever,,
32,33,2024-10-01,TUESDAY,2402,13,13,16,14,1727786404,1727837088,829.65,149.502,112.4,67.4443,12.3327,20.2157,51.0495,-0.0233242,4.40411,-2.70244,1.33009,370.728,2.47975,423.158,-421.637,176,,,2,145.538,48.7107,2811.76,Clever,,
33,34,2024-10-01,TUESDAY,2404,43,43,15,13,1727789701,1727839201,810.817,151.807,68.4,68.383,13.4339,21.0488,51.3214,-0.0149118,5.68839,-3.40096,2.2194,326.661,2.15182,422.361,-420.235,165,,,2,,,1370.59,Clever,,
34,35,2024-10-02,WEDNESDAY,2402,13,13,11,10,1727872181,1727909039,604.4,100.578,44.4,68.544,10.1362,18.0687,42.0493,-0.0513802,3.98131,-2.37108,2.26527,203.659,2.02488,279.995,-281.353,120,,,1,124.671,69.9372,2967.53,Clever,,
35,36,2024-10-03,THURSDAY,2405,13,13,1,0,1727959013,1728010204,853.183,156.654,67.2,63.1117,12.8804,19.8884,56.671,-0.0909089,2.33707,-4.78109,2.33116,380.879,2.43134,439.845,-440.01,215,,,1,,,1416.78,Clever,,
36,37,2024-10-04,FRIDAY,2405,13,13,2,0,1728045004,1728096560,858.85,155.386,64.4,64.51,12.7288,19.3058,53.4379,-0.0236451,2.88272,-4.91473,2.41283,373.622,2.40448,443.063,-443.504,206,,,1,150.029,,1573.65,Clever,,
37,38,2024-10-04,FRIDAY,2402,43,43,3,2,1728049428,1728054056,61.8833,8.30152,22.8,64.1812,3.5781,18.4869,39.7872,-0.0141214,1.515,-1.80487,0.364102,24.3544,2.93372,21.2209,-24.8417,8,,,1,153.712,139.282,3074.2,Clever,,
38,39,2024-10-10,THURSDAY,2403,102,102,1,1,1728597354,1728602557,86.7167,18.8648,6.8,72.1586,15.3199,20.767,39.5056,0.0522991,1.60127,-1.55913,2.77424,42.5223,2.25406,93.2744,-45.5746,27,,,1,176.432,161.801,2821.41,Clever,,
39,40,2024-10-17,THURSDAY,2403,92,92,10,8,1729168440,1729220621,861.283,167.469,71.2,65.6417,14.0726,22.5511,45.5251,0.00933567,5.06894,-2.48489,2.35209,317.496,1.89585,833.713,-839.153,209,,,2,208.519,92.8625,2875.36,Clever,,
40,41,2024-10-17,THURSDAY,2407,23,23,15,13,1729169754,1729220154,826.567,152.379,72.8,66.3967,11.9971,18.6236,44.127,-0.0585175,2.39749,-3.97302,2.09311,319.903,2.09939,441.726,-444.001,195,,,2,215.383,96.4012,1559.67,Clever,,
41,42,2024-10-18,FRIDAY,2407,23,23,5,4,1729256503,1729274102,289.367,49.6506,86.8,64.0894,9.31042,18.3565,37.525,0.0503007,2.45676,-2.25203,0.572012,110.495,2.22545,145.862,-134.745,57,,,2,197.505,26.5553,1716.52,Clever,,
42,43,2024-10-21,MONDAY,2405,112,112,2,1,1729514762,1729516852,33.8167,5.99623,2.4,63.1027,13.6471,22.4636,34.321,-0.0270375,1.3262,-0.936138,2.49843,14.5861,2.43254,68.5733,-21.3349,6,,,1,182.237,177.681,1904.44,Clever,,
43,44,2024-10-21,MONDAY,2405,92,92,7,7,1729516918,1729559578,708.534,131.771,59.2,70.3506,11.4387,19.7391,43.2144,-0.00304474,2.48618,-2.10693,2.22586,275.369,2.08976,624.754,-673.041,187,,,2,177.681,83.5251,1911.2,Clever,,
44,45,2024-10-21,MONDAY,2402,23,23,16,14,1729515414,1729565577,816.033,150.996,131.2,69.901,12.9051,20.9895,44.195,0.00938242,5.25237,-3.84706,1.15089,315.044,2.08644,434.468,-425.112,177,,,2,160.025,67.5213,3092.61,Clever,,
45,46,2024-10-21,MONDAY,2407,4044SCHO,4044SCHO,2,0,1729548243,1729557590,154.767,38.236,14.0,72.6898,16.2617,23.9298,45.0979,-0.02256,2.7478,-2.58747,2.73114,88.3877,2.31164,142.463,-143.456,47,,,1,196.166,167.459,1772.36,Clever,,
46,47,2024-10-21,MONDAY,2407,92,92,3,2,1729559639,1729565929,106.1,24.7989,6.8,68.5757,15.3435,19.1546,39.0978,-0.124861,1.60127,-1.45991,3.64689,44.8749,1.80956,101.81,-103.91,29,,,1,163.472,149.916,1815.05,Clever,,
47,48,2024-10-22,TUESDAY,2407,92,92,10,8,1729600476,1729652615,860.333,167.143,73.2,68.638,12.0783,18.9788,41.0396,-0.10425,2.46227,-3.95447,2.28337,360.81,2.15869,822.418,-831.163,214,,,2,204.147,77.5757,1841.37,Clever,,
48,49,2024-10-22,TUESDAY,2403,112,112,11,9,1729600840,1729657562,935.901,190.074,98.8,68.3912,14.4172,21.9486,41.5542,0.0358571,2.468,-2.00321,1.92383,368.517,1.93881,954.683,-957.753,259,,,2,198.389,64.434,3046.02,Clever,,
49,50,2024-10-22,TUESDAY,2402,23,23,16,14,1729602299,1729652398,815.433,148.001,159.2,69.8521,14.301,21.1666,42.4862,0.00420067,5.16554,-4.34028,0.929655,315.148,2.12937,440.364,-434.236,173,,,2,161.857,66.5258,3250.86,Clever,,
50,51,2024-10-23,WEDNESDAY,2407,92,92,10,8,1729686888,1729738558,853.133,167.957,74.4,68.8997,14.9133,22.0506,40.9328,-0.0246112,2.68684,-4.91225,2.25748,366.75,2.1836,829.071,-834.239,204,,,2,158.337,46.5697,2011.3,Clever,,
51,52,2024-10-23,WEDNESDAY,2402,23,23,1,0,1729688156,1729693616,91.0,9.38892,5.6,61.663,5.70278,22.8111,34.6511,0.00618214,1.51699,-2.27549,1.67659,17.0899,1.82022,28.893,-29.7606,7,,,1,132.302,124.033,3404.77,Clever,,
52,53,2024-10-28,MONDAY,2407,92,92,4,3,1730118877,1730136950,298.483,57.1662,21.6,63.4291,10.9932,18.781,40.5833,-0.0941108,1.83627,-2.21187,2.64658,109.062,1.9078,298.45,-298.267,68,,,1,171.457,137.752,2188.4,Clever,,
53,54,2024-10-28,MONDAY,2402,112,112,11,9,1730119238,1730175899,934.267,189.22,78.4,63.9744,13.1863,21.3386,43.496,-0.0726009,2.51055,-4.10836,2.41352,384.597,2.03254,900.632,-912.438,219,,,3,145.707,46.3883,3416.92,Clever,,
54,55,2024-10-29,TUESDAY,2407,92,92,10,8,1730205296,1730257136,854.618,166.857,74.8,62.4134,12.1842,19.1579,44.0203,0.025562,5.50632,-3.52843,2.2307,354.192,2.12273,823.439,-827.738,218,,,2,178.054,68.2063,2248.02,Clever,,
55,56,2024-10-29,TUESDAY,2402,23,23,16,14,1730206803,1730256824,813.0,150.844,138.0,63.1038,12.8631,20.0272,44.5251,-0.0308262,2.84934,-2.6236,1.09307,298.548,1.97918,429.685,-413.968,148,,,2,119.539,42.0569,3608.99,Clever,,
56,57,2024-10-30,WEDNESDAY,2407,92,92,8,7,1730291642,1730338900,779.917,148.352,89.2,62.9259,12.2542,21.2047,44.03,0.0153958,4.49098,-1.76982,1.66314,307.165,2.07051,746.58,-747.683,183,,,2,162.977,26.5439,2418.11,Clever,,
57,58,2024-10-30,WEDNESDAY,2402,23,23,15,13,1730292903,1730343052,822.55,152.23,87.2,64.0257,11.5827,16.7264,45.2824,0.0118999,3.20803,-3.55707,1.74575,311.353,2.04529,442.198,-440.018,177,,,2,131.994,42.8742,3765.24,Clever,,
58,59,2024-10-31,THURSDAY,2407,92,92,10,8,1730378086,1730429926,855.434,166.676,76.4,61.5879,14.0486,22.1065,47.1951,0.0528151,6.30745,-4.04877,2.18163,329.701,1.97809,857.126,-875.966,236,,,2,168.849,60.3921,2569.46,Clever,,
59,60,2024-10-31,THURSDAY,2402,23,23,15,13,1730379349,1730430576,842.7,153.584,60.8,62.9001,13.0798,19.3744,47.2922,-0.0164428,3.47861,-2.85333,2.52606,338.098,2.20138,419.061,-421.552,176,,,2,126.448,37.0834,3921.55,Clever,,
60,61,2024-11-01,FRIDAY,2407,13,13,15,14,1730464838,1730513194,792.583,147.197,67.6,60.7987,12.0218,19.2547,54.2437,0.00589235,2.43882,-2.73277,2.17746,315.016,2.1401,423.822,-394.161,168,,,2,125.879,18.732,2739.5,Clever,,
61,62,2024-11-01,FRIDAY,2402,33,33,16,14,1730467318,1730515741,791.867,150.558,62.0,60.7992,12.2922,18.7663,45.797,-0.0338505,2.27549,-2.69687,2.42836,284.476,1.88947,430.449,-427.762,154,,,2,119.16,42.9461,4080.42,Clever,,
62,63,2024-11-04,MONDAY,2407,13,13,16,14,1730726994,1730776562,811.65,153.662,71.2,66.8476,13.3632,23.3768,53.1563,0.0362987,5.42535,-3.25521,2.15817,420.209,2.73464,415.364,-414.504,133,,,2,180.808,44.461,2895.78,Clever,,
63,64,2024-11-04,MONDAY,2403,92,92,10,8,1730727289,1730779234,856.7,166.394,77.2,65.8153,13.3124,21.4074,43.2144,-0.00871389,2.37108,-4.53907,2.15536,343.008,2.06142,815.717,-812.749,207,,,2,188.351,71.7154,3266.16,Clever,,
64,65,2024-11-04,MONDAY,2402,23,23,15,13,1730728558,1730778652,820.667,150.788,72.0,67.4827,13.0685,19.9189,43.1173,0.00457364,2.55311,-2.47396,2.09428,335.026,2.22183,434.426,-426.752,171,,,2,153.107,,4237.11,Clever,,
65,66,2024-11-05,TUESDAY,2407,13,13,16,14,1730813582,1730863918,825.266,151.475,162.8,63.4664,13.154,22.4198,48.3213,0.0110124,5.70066,-4.44444,0.930435,391.167,2.58239,415.774,-411.352,143,,,2,161.013,28.3264,3054.61,Clever,,
66,67,2024-11-05,TUESDAY,2402,23,23,15,13,1730814954,1730866011,832.167,150.608,120.8,64.2225,12.6068,21.321,45.6514,-0.0127436,1.93838,-3.1225,1.24676,321.46,2.13442,409.694,-416.168,160,,,3,143.275,51.9849,4393.61,Clever,,
67,68,2024-11-06,WEDNESDAY,2403,92,92,10,8,1730900082,1730951931,855.817,168.019,78.4,66.6291,13.3737,22.7626,40.8551,-0.0099483,5.9375,-2.08504,2.1431,369.199,2.19737,825.453,-835.7,211,,,2,185.728,63.7,3436.04,Clever,,
